,tweet
49,"@atti_cus Modi is fooling people and you are a fool,got Covid twice,wear mask properly and cover your nose+mouth, not your double chin."
50,"131,787 Covid cases in one single day...
802 deaths...
Please do not underestimate the second wave...
Mask up, avoi… https://t.co/6aPxUL8q8R"
51,Even with COVID-19 I was hopeful we could work together and get this under control. Instead we have Moe not wearing… https://t.co/kB1wP4CPTk
52,"@Joshua_Pohlman @Buffalo_Boscia @lisaunger_716 If you don't wear a mask and I do, I'm the one who is more likely to… https://t.co/3reeFJAY83"
53,"It is Thursday April 08, 2021, 14:18:01. Joe Biden has not instituted a national mask mandate as he promised.  In f… https://t.co/ya473mkKTe"
54,@Candlergo @GingerGano Washing your hands and not touching your face has always been the best way to prevent a viru… https://t.co/p0d4CSTjZE
55,Everyone involved in the podcast has now been fully vaccinated. We can assure you that no Covid particles will be t… https://t.co/J96tOdmQwZ
56,"After almost 4 months of being in the hospital and rehab clinics, I just brought my mom back home. 
Fuck Covid. Fuc… https://t.co/UFJ876zrzw"
57,"#MiVidaMiOxigeno
Y si seguimos la evidencia cientifica de la UE?
ECDC: 'In areas with community transmission of COV… https://t.co/hYNGKzqq8l"
58,@JohnSwinney @theSNP @fjmunro If there is anyone who deserves covid its swinney!! He openly breaks covid rules and fails to wear a mask
59,"Uh oh, #COVID19 raises erectile dysfunction #ED risk in young men – so guys, wear masks, get the #vaccine – mask up… https://t.co/myrvWflSz6"
60,"YouTube has removed videos hosted by Ron DeSantis (R). The video, along with a panel of scientists and researchers… https://t.co/l1uZLpZDcH"
61,"The weather is warming and more folks are getting vaccinated, but #COVID19 is still very much present in Boston. Wh… https://t.co/DbMs1ZU3oM"
62,@MerrimackPD Wow. Now Covid only lasts for a few minutes. Why isn't every Government office open in this State. And… https://t.co/cwSvirefkI
63,@IndyMayorJoe @GovHolcomb @INHouseGOP @inhsedems @INDems @INSenateGOP @INSenDems Hoosiers demand the Right to Infor… https://t.co/eCH8MQDr8N
64,"@maggieNYT Nah, Trump didn't wear a mask 'cuz his entire schtick was to pretend that it wasn't potentially lethal &amp;… https://t.co/EV0zhzsZOO"
65,More covid deaths caused by the former guy's ego accounted: lack of PPE &amp; his lies about it. Still cannot compute t… https://t.co/LHvnkR44oG
66,"Dear @PMOIndia if you need revenue (in form of covid fine) for run the country, then you pls impose fine in W.banga… https://t.co/EW0PyrYKcc"
67,"So ndi one chance or better still ndi Ori in Anambra wear face mask to rob

They are covid 19 compliant,they'll rob… https://t.co/bPfIK82xja"
68,fentanyl Floyd Rebel #BigBull #BestFanArmy #HolocaustRemembranceDay #bitcon #FearlessTaylorsVersion… https://t.co/yPil9p9QJ1
69,"@OnlyLuna18 @Forbes Oh, and he also tested positive for COVID, and didn't appear to be wearing his mask or social d… https://t.co/gXiKyLpvZw"
70,"Honestly, wear a mask and take Covid seriously. 
My close friends are sick and not feeling well and it honestly mak… https://t.co/EoNuZ5qmmb"
71,"coworker came into work yesterday, they had been exposed to someone with covid over the weekend, it had been three-… https://t.co/ojdt7oQzL9"
72,@Wrkhrdplyhrd91 @jhaskinscabrera @bara Yours is a content-less response.  Wearing a mask helps protect people aroun… https://t.co/LjvOpBRD3y
73,"Just got my first dose of that sweet sweet vaccine. And now I’m still going to social distance, wash my hands, and… https://t.co/Ca0thr0U70"
74,Covid 19 Mask PM2.5 Mouth Nose Disconnect-type Mask N95 Anti-dust Masks Antiviral https://t.co/HW2nFtSMJG
75,She say its covid outside so lil baby come be my face mask
76,"flcourts: Jurisdiction answer brief filed @flcourts in case challenging local COVID mask requirement, in Josie Mach… https://t.co/1soceKee20"
77,Ik covid btw. Ima have my mask on and be away from ppl
78,"@pixieskygoddess @CupcakeTwinkie5 Covid or no, I’m gonna continue to wear a mask. No flu, no colds since wearing a mask."
79,"I hope no one declining covid vaccination ever bitches about schools being closed or wearing a mask. After all, the… https://t.co/7C5aZENuD9"
80,"When Baltimore has another Covid spike this is why. Drove by a bar downtown near Orioles game, easily 200 people NO… https://t.co/Qwve12TPlH"
81,@TimesNow @navikakumar @thenewshour PM told to maintain covid protocol like safe distance and wearing mask.......wh… https://t.co/bX64gwa7mi
82,"""Disinfection is only recommended in indoor settings — schools and homes — where there has been a suspected or conf… https://t.co/Nie5uHk8JE"
83,@KevinMKruse @MarshaBlackburn Well we know Trump &amp; WAY too many “pro-lifers” were just fine with letting COVID kill… https://t.co/47Tu3ULzd3
84,"@narendramodi Mask Up only safe to people from COVID-19, So requested to Sri Modi ji our Prime Minister that do com… https://t.co/vKqD9N6Gv3"
85,"Pretty sure I will wear a mask for a long time, maybe the rest of my life after COVID is over.

My fiancé pointed o… https://t.co/p1JiGAaGdt"
86,All adults residing in Indiana are eligible for #Covid vaccines and the statewide mask mandate has expired. We aske… https://t.co/7IJBHk0mcp
87,@MendocinoBeacon Are the squirrels carrying Covid? Are you fools scared of nature as well as a bug that can dance t… https://t.co/I80EuMawHy
88,I be getting Covid test at work every week for a free mask😷
89,@IzzyCEros @gentoo_python @HatUncle @ssrugervaquero @NicoleArbour It’s worse than that. Covid has killed 5x as many… https://t.co/zXV1VHgKVy
90,"@hector_drummond Satanic Religion of COVID-1984 -

Putting on a Mask is same as Putting Underwear over your Face -… https://t.co/17aOJTVmHp"
91,"Not this woman getting her infested covid self so close to Elton and without a mask! Girl, you’ve been parading car… https://t.co/fPdEPF3nNW"
92,"@soulquarius_ @AlexDGallant Read a book, you have no idea how vaccines work. No one was injected with covid and the… https://t.co/bE0KiJVpkQ"
93,"Even if you don't have the mask mandate in your area, please continue to wear your mask when you are in crowds or i… https://t.co/rqS9t1Twjk"
94,"Gee @henrymcmaster between new and probable COVID cases - South Carolina has 945 new cases. Next thing you know, we… https://t.co/lZBphjnx36"
95,@SpencerJCox Why would you lift the mask mandate now if a majority of Utahns don’t even have their first dose? The… https://t.co/aMSCANJhQC
96,"@Reuters Big Alert &amp; need for Covid appropriate behaviour- as 37 doctors @Gangaram hospital, Already Vaccinated get… https://t.co/4Wy19c60NO"
97,Just went to the bank. In Montana we have virtually no covid 19 cases. They would not let me in unless I put a mask… https://t.co/GsTkQvWYdo
98,"@pixieskygoddess @hachx0 i really really really don’t want to, but i will for as long as covid is a threat. doing p… https://t.co/ypQDg59Pea"
99,Get gas mask. Face coverings &amp;  masks aren't for covid. Hospitals have special air controls. Stores don't. Wearing… https://t.co/Lpbcnul44y
100,"It's pretty simple, if you don't want to keep doing the lockdown thing for another year. Follow the covid rules, we… https://t.co/0OzOZiukvH"
101,"I am seriously worried about rising covid 19 cases. Many of My colleagues, seniors and juniors are COVID19 postive.… https://t.co/bYQX3RMeuI"
102,"@samsheffer Sam, from.a friend researching covid particles in the air. Any mask that has a valve = 💩☠️"
103,@MoMoDdotcom @thomaskaine5 Congrats!  I'm halfway there!  I probably will always wear a mask in places like Walmart… https://t.co/843oLQaLYu
104,@JustAManic2020 @KatieCa95789269 @pophealthb @pixieskygoddess Distancing is the 2nd part of the guidelines. Our med… https://t.co/LWKpsjJ915
105,"@PMOIndia @narendramodi @himantabiswa b4 election u said no need of mask in Assam.Once election finished,U r asking… https://t.co/8ow8k1sqzD"
106,"@MarkSlapinski OK.
Follow the covid rules, wear a mask and socially distance, get a vaccine and listen to the ICU d… https://t.co/kKd6KBdykI"
