,tweet
0,Millions of counterfeit masks have been seized by Customers and Border Protection officials since the start of the… https://t.co/raFrOM6YTE
1,"Over the last eight months, Ford has delivered 120 million masks to at-risk communities, the auto company announces. https://t.co/j2yr5Dmc0I"
2,Think you can make a better mask? You have until April 21 https://t.co/MUUCoXa0b8
3,Think you can make a better mask? You have until April 21 https://t.co/gQEr5uQOam
4,Think you can make a better mask? You have until April 21 https://t.co/CqE0Q1i7Jy
5,"JUST IN: The CDC says that as long as coronavirus precautions are taken, including mask-wearing, fully vaccinated p… https://t.co/L61mcSqxEZ"
