,tweet
0,Sarah Palin urges mask use after revealing Covid-19 diagnosis: “I strongly encourage everyone to use common sense t… https://t.co/Eq2lFeIEe0
1,"CDC Director Walensky warns of “impending doom” as the US sees a steady rise in Covid-19 cases, gives emotional ple… https://t.co/fYe4NFC1OL"
2,"Sarah Palin urges mask use after revealing Covid-19 diagnosis: ""I strongly encourage everyone to use common sense t… https://t.co/nyYhGCpeHR"
3,"Sarah Palin urges mask use after revealing Covid-19 diagnosis: ""I strongly encourage everyone to use common sense t… https://t.co/VJF5vFpgAo"
4,"Sarah Palin urges mask use after revealing Covid-19 diagnosis: ""I strongly encourage everyone to use common sense t… https://t.co/kIV3zlSeb4"
