,tweet
0,"A new @CDCMMWR finds that in northern Montana’s Blackfeet Tribal Reservation, stay-at-home orders and mask requirem… https://t.co/DPil2JxdYI"
1,"#WearAMask when you are in a restaurant, particularly indoors &amp; when speaking with restaurant workers and servers.… https://t.co/SFwXcLulhG"
2,"#COVID19 spreads mostly through close contact between people, but it is possible to be infected by touching surface… https://t.co/v2246i24Cc"
3,A mask is NOT a substitute for staying at least 6 feet away from others. To protect yourself and others from… https://t.co/O8oT7V9pxn
4,"#WearAMask 😷 in public to help #SlowTheSpread of #COVID19. When choosing a mask, make sure it fits snugly against y… https://t.co/0ioRaELKdH"
