,index,count
0,US,108
1,IN,74
2,CA,10
3,GB,9
4,AU,8
5,PK,7
6,SA,4
7,KE,4
8,IE,4
9,ZA,3
10,BM,2
11,NP,2
12,AE,1
13,NG,1
14,DE,1
15,DO,1
16,ID,1
17,CY,1
18,MV,1
19,PG,1
20,CH,1
21,,1
